id,description,hierarchy_levels,type,source
ESCO_0227a4f4-f979-4e5a-bd11-93744f339246,types of digesters,"[['ESCO_K', 'ESCO_K05', 'ESCO_K053', 'ESCO_K0531']]",preferredLabel,esco
ESCO_022dc430-872a-473a-9cf4-fed4895e58ad,define database physical structure,"[['ESCO_S', 'ESCO_S5', 'ESCO_S5.5', 'ESCO_S5.5.2']]",preferredLabel,esco
ESCO_0232e2ee-5535-46e0-9c64-ea80c896c62f,lay stones,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.1']]",preferredLabel,esco
ESCO_0234bf2c-0483-4953-be59-edc2fcdd9e4b,assemble circus rigging equipment,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.8']]",preferredLabel,esco
ESCO_023e4b09-a193-4c2b-9009-f7dc9326a19b,perform oral health diagnosis,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.2']]",preferredLabel,esco
ESCO_023f4870-b417-4bd2-b0ae-78e61587c79f,geomatics,"[['ESCO_K', 'ESCO_K05', 'ESCO_K053', 'ESCO_K0532']]",preferredLabel,esco
ESCO_023faef3-0633-436d-8b91-389c45c1421c,contamination exposure regulations,"[['ESCO_K', 'ESCO_K10', 'ESCO_K102', 'ESCO_K1021']]",preferredLabel,esco
ESCO_024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,"[['ESCO_K', 'ESCO_K06', 'ESCO_K061', 'ESCO_K0613']]",preferredLabel,esco
ESCO_0240c5a8-d8ec-4cd5-948f-4649334c01b8,search historical sources in archives,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.4', 'ESCO_S2.4.1']]",preferredLabel,esco
ESCO_024910a2-1ee8-4f07-bac6-33b577d9392e,supervise performers' fights,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.5', 'ESCO_S4.5.0'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.8', 'ESCO_S4.8.1'], ['ESCO_T', 'ESCO_T4', 'ESCO_T4.4', None]]",preferredLabel,esco
ESCO_0253b09a-7217-43fc-b62f-e6b23ffebac9,develop script bible,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.13', 'ESCO_S1.13.2']]",preferredLabel,esco
ESCO_0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,operate radio equipment,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.2', 'ESCO_S1.2.1'], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.6', 'ESCO_S8.6.4']]",preferredLabel,esco
ESCO_02619401-8e21-46e5-8f19-204747fd755d,remove contaminated materials,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.13', 'ESCO_S6.13.1'], ['ESCO_S', 'ESCO_S2', 'ESCO_S2.7', 'ESCO_S2.7.1']]",preferredLabel,esco
ESCO_026db24f-6972-460b-a784-d34afaf8d498,inspect paint quality,"[['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_A', 'ESCO_A1', 'ESCO_A1.12', 'ESCO_A1.12.0'], ['ESCO_S', 'ESCO_S2', 'ESCO_S2.8', 'ESCO_S2.8.1']]",preferredLabel,esco
ESCO_027f47ba-2435-47dc-9fd3-5f05c6a52e93,styles of boxes,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0722']]",preferredLabel,esco
ESCO_02820870-3b92-480b-8475-8a521563ea3c,collect property financial information,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.4', 'ESCO_S2.4.1'], ['ESCO_S', 'ESCO_S2', 'ESCO_S2.7', 'ESCO_S2.7.3']]",preferredLabel,esco
ESCO_0295b2a4-fb86-495f-9547-d479532fc4c2,trace financial transactions,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.8', 'ESCO_S2.8.2']]",preferredLabel,esco
ESCO_029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,contribute to quality physiotherapy services,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.3', 'ESCO_S4.3.1'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_A', 'ESCO_A1', 'ESCO_A1.12', 'ESCO_A1.12.0']]",preferredLabel,esco
ESCO_02a78cf3-8b31-4911-bcad-c989a1b7ff40,install radiators,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.2', 'ESCO_S7.2.1']]",preferredLabel,esco
ESCO_02ae2a55-4b7c-41d2-86ec-9a2a38b73fe6,advise customers on usage of care products for pets,"[['ESCO_T', 'ESCO_T4', 'ESCO_T4.2', None], ['ESCO_S', 'ESCO_S1', 'ESCO_S1.5', 'ESCO_S1.5.3'], ['ESCO_S', 'ESCO_S1', 'ESCO_S1.5', 'ESCO_S1.5.0']]",preferredLabel,esco
ESCO_02b6350e-433a-42b1-b620-92fc53b9a14d,operate remote sensing equipment,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.6', 'ESCO_S8.6.3']]",preferredLabel,esco
ESCO_02bbd0fb-b108-49a8-9c48-5b0c447d3fdf,calculate stairs rise and run,"[['ESCO_T', 'ESCO_T1', 'ESCO_T1.2', None], ['ESCO_S', 'ESCO_S2', 'ESCO_S2.6', 'ESCO_S2.6.1']]",preferredLabel,esco
ESCO_02bf9522-bd6e-4482-be03-1827483be21a,first aid for animals,"[['ESCO_K', 'ESCO_K08', 'ESCO_K084', 'ESCO_K0841']]",preferredLabel,esco
ESCO_02c1a369-f1e7-4f8e-8882-d7ded57f9cf4,empathise with outdoor groups,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.4', 'ESCO_S3.4.2'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.8', 'ESCO_S4.8.3']]",preferredLabel,esco
ESCO_02c462b7-b93b-44a7-ba3a-9d3b7a163f51,provide context to news stories,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.7', 'ESCO_S1.7.3'], ['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.1'], ['ESCO_S', 'ESCO_S1', 'ESCO_S1.4', 'ESCO_S1.4.1']]",preferredLabel,esco
ESCO_02c71cde-f513-43da-8952-0974763c7568,circuit diagrams,"[['ESCO_K', 'ESCO_K06', 'ESCO_K061', 'ESCO_K0612']]",preferredLabel,esco
